PlayerID,FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp,Year,Duplicate
7gI9ew,Julian,Dunn,TOR,D,"57225.00","57225.00",2019,vj196BVE
7gI9ew,Julian,Dunn,TOR,D,"81375.00","81375.00",2020,IMkCM9NF
7gI9ew,Julian,Dunn,TOR,D,"85444.00","85444.00",2021,cxL6S9yE
CkciXk,Matthew,Dunn,CHV,M,"48500.04","48500.04",2014,XeJR6pyw
QGQyGw,Andrew,Duran,SEA,D,"33750.0","33750.0",2012,Bi7FvcF5
SQgEWp,Jhon Jader,Duran,CHI,F,"120000.00","167000.00",2022,PWYvi03h
LchMdT,Chris,Durkin,DC,D-M,"70000.0","79166.67",2017,CwraHjp7
LchMdT,Chris,Durkin,DC,D-M,"80000.00","89166.67",2018,iHfy87cl
LchMdT,Chris,Durkin,DC,D-M,"95000.04","104375.04",2019,rpiZ7R5D
LchMdT,Chris,Durkin,DC,M,"400000.00","445000.00",2022,8poAYmpq
LchMdT,Chris,Durkin,DC,D-M,"425000.00","481250.00",2023,XXDOSey6
LchMdT,Chris,Durkin,STL,M,"450000.00","495000.00",2024,BBCD88UX
LchMdT,Chris,Durkin,STL,M,"475000.00","520000.00",2025 Sp,vhJ1MBED
TpBGwS,Chris,Duvall,RBNY,D,"36504.0","36504.0",2014,93Urg7O2
TpBGwS,Chris,Duvall,RBNY,D,"60000.0","60000.0",2015,ObTQSxi1
TpBGwS,Chris,Duvall,RBNY,D,"63000.0","63000.0",2016,5RJQvjkH
TpBGwS,Chris,Duvall,MTL,D,"70875.0","70875.0",2017,koMpKuc5
TpBGwS,Chris,Duvall,MTL,D,"150000.00","150000.00",2018,TyiZrsBL
TpBGwS,Chris,Duvall,POR,D,"81375.00","81375.00",2020,s777PL3J
TpBGwS,Chris,Duvall,CIN,D,"81375.00","81375.00",2021,xzEJlH4p
KanUoz,Dom,Dwyer,KC,F,"60000.0","72500.0",2012,5BHcueoh
KanUoz,Dom,Dwyer,KC,F,"65000.0","77500.0",2013,QxkXpNTX
KanUoz,Dom,Dwyer,KC,F,"80000.0","92500.0",2014,sTrO0VKi
KanUoz,Dom,Dwyer,KC,F,"400000.0","518750.0",2015,3myAPDPK
KanUoz,Dom,Dwyer,KC,F,"500000.0","618750.0",2016,IR67LPKJ
KanUoz,Dom,Dwyer,KC,F,"550000.0","668750.0",2017,Aet423EX
KanUoz,Dom,Dwyer,ORL,F,"1200000.00","1383333.33",2018,DC2yqKiH
KanUoz,Dom,Dwyer,ORL,F,"1320000.00","1503333.33",2019,lDEP2iOz
KanUoz,Dom,Dwyer,ORL,F,"1452000.00","1635333.00",2020,QhGbLDhF
KanUoz,Dom,Dwyer,TOR,F,"81375.00","81375.00",2021,j1U0hiiR
KanUoz,Dom,Dwyer,ATL,F,"84000.00","84000.00",2022,KRDisNB5
KanUoz,Dom,Dwyer,MLS,F,"85444.00","85444.00",2023,PFGoXfGg
OktQIw,Rod,Dyachenko,DC,M,"17700.0","17700.0",2007,IosG9R9J
OktQIw,Rod,Dyachenko,DC,M,"33000.0","33000.0",2008,Qbu7AdYc
xejBdM,Andrew,Dykstra,CHI,GK,"34000.0","34000.0",2009,4sFSir3Z
xejBdM,Andrew,Dykstra,CHI,GK,"40000.0","40000.0",2010,OGlkrocB
xejBdM,Andrew,Dykstra,DC,GK,"44004.0","44004.0",2012,wjFJ3KeZ
xejBdM,Andrew,Dykstra,DC,GK,"46500.0","46500.0",2013,3voMYY7i
xejBdM,Andrew,Dykstra,DC,GK,"48825.0","48825.0",2014,DaIu8gnP
xejBdM,Andrew,Dykstra,DC,GK,"60000.0","60000.0",2015,Sv9qsbSh
xejBdM,Andrew,Dykstra,DC,GK,"75000.0","85700.0",2016,OUbqAVP6
xejBdM,Andrew,Dykstra,KC,GK,"80004.0","87654.51",2017,tjN7bSff
xejBdM,Andrew,Dykstra,COL,GK,"100008.00","107658.51",2018,i3O71Vcj
goITcC,Otis,Earle,DAL,D,"60000.0","77125.0",2015,vj6ozKX9
cT6La2,Danny,Earls,COL,D-M,"40000.0","41250.0",2010,b0g53nEE
cT6La2,Danny,Earls,COL,D,"32604.0","32604.0",2011,CLoGaWTw
rru4ss,Robert,Earnshaw,TOR,F,"138000.0","155150.0",2013,D1Lnku4l
rru4ss,Robert,Earnshaw,CHI,F,"204000.0","206250.0",2014,JrDtyisa
rru4ss,Robert,Earnshaw,VAN,F,"100000.0","100000.0",2015,3DZ2wjBF
iUXJWz,Eric,Ebert,HOU,M,"12900.0","12900.0",2007,oEUTbNt0
iUXJWz,Eric,Ebert,CHV,D,"12900.0","12900.0",2008,7ra7i8lT
E3ukys,Jeremy,Ebobisse,POR,F,"130000.0","173000.0",2017,fuzkpn2D
E3ukys,Jeremy,Ebobisse,POR,F,"140000.00","203000.00",2018,d3HVxtNH
E3ukys,Jeremy,Ebobisse,POR,F,"174999.96","237999.96",2019,gZt5s83T
E3ukys,Jeremy,Ebobisse,POR,F,"425000.00","516250.00",2020,mu3lKJnE
E3ukys,Jeremy,Ebobisse,SJ,F,"600000.00","691250.00",2021,wuZO3gL9
E3ukys,Jeremy,Ebobisse,SJ,F,"620734.00","766617.00",2022,hbDw5Fw1
E3ukys,Jeremy,Ebobisse,SJ,F,"763980.00","909863.00",2023,TAEW4dbd
E3ukys,Jeremy,Ebobisse,SJ,F,"859478.00","1005361.00",2024,pP7qDUx8
E3ukys,Jeremy,Ebobisse,LAFC,F,"680000.00","680000.00",2025 Sp,1LxWem76
zia6Tz,Oscar,Echeverry,RBNY,F,"80000.0","80000.0",2008,3wpEIzax
ta3egD,Richard,Eckersley,TOR,D,"75000.0","90000.0",2011,GmaGfSs0
ta3egD,Richard,Eckersley,TOR,D,"210000.0","390000.0",2012,iFD3e2uK
ta3egD,Richard,Eckersley,TOR,D,"210000.0","310000.0",2013,Qk7Sm87n
ta3egD,Richard,Eckersley,RBNY,D,"255000.0","373333.33",2014,KQ47jEY0
yAHNxT,Daniel,Edelman,RBNY,M,"84000.00","91582.00",2022,wr4ziGSq
yAHNxT,Daniel,Edelman,RBNY,D-M,"85444.00","93026.00",2023,y3kGBzEY
yAHNxT,Daniel,Edelman,RBNY,M,"385000.00","385000.00",2024,4m9V6nd1
yAHNxT,Daniel,Edelman,RBNY,M,"465000.00","465000.00",2025 Sp,XC1x9j6m
FauY5b,David,Edgar,VAN,D,"175000.0","183833.33",2017,XeO96tAA
9RIdzr,Maurice,Edu,TOR,M,"50000.0","132500.0",2007,ZHrjrUbT
9RIdzr,Maurice,Edu,PHI,M,"650000.0","650000.0",2014,QvsRwLDQ
